Date,Hashtags,Mentions,Permalink,Retweets,Text,To,TweetID,Unnamed: 0
2020-09-07 23:35:38+00:00,,,https://twitter.com/NoHookerNoPeace/status/1303114736314265603,0,"Man I tried. I had a gal lined up to join Military Intelligence then Covid hit, they delayed her enlistment, her Army nurse sister talked her out of it. So I’m chipping in to help her finish her BSN while she works at a dementia care facility. She’ll be an amazing nurse I’m sure.",CharlesRittmann,1303114736314265603,0.0
2020-09-07 23:30:59+00:00,,,https://twitter.com/KaraAnnTinker/status/1303113564237049857,0,My grandmother requires 24/7 supervision due to her dementia. The healthcare worker who is supposed to assist this evening just got back from out of state travel to a large funeral. The coordinating care facility's response to our concern is that you can catch covid anywhere. 🙄,,1303113564237049857,1.0
2020-09-07 22:53:16+00:00,,,https://twitter.com/gollyboys/status/1303104074087313410,0,"I cry too, my 92 year old mum with advanced dementia, I’ve not seen since Sept. My family terrified she catches COVID in her nursing home. Grateful people keep her safe so that she can see out her days safely and comfortably. See a different perspective and get off your soap box ",RealDeniseWelch,1303104074087313410,4.0
2020-09-07 22:27:52+00:00,,,https://twitter.com/AmazingBughead/status/1303097682903302145,0,Now that covid has killed my mom I am going to be nasty to these people. She lived in assisted living and hadn’t been outside in 2 years bc of dementia and these asswipes have killed her,Josh_Moon,1303097682903302145,5.0
2020-09-07 20:01:12+00:00,,,https://twitter.com/bs_news_at_10/status/1303060774500347904,0,"Depends on the comorbidities. When I see them adding in Alzheimers and vascular dementia I call foul My Dad technically died of pneumonia but it was because his Alzheimers made him forget how to cough If you are in cardiac arrest or heart failure you are in danger, Covid or not",RobDenBleyker,1303060774500347904,18.0
2020-09-07 19:16:37+00:00,,,https://twitter.com/lllcandymanlll/status/1303049552921079818,0,My friends nan had dementia for ages and she was put down as a covid death?,Peston,1303049552921079818,21.0
2020-09-07 17:25:57+00:00,,@STVNews @scotgov @JeaneF1MSP,https://twitter.com/AlisonWalker_tv/status/1303021702213926912,13,"Watched another heart breaking story of dementia  and separation @STVNews caused by Covid restrictions. It’s not even about indoor  and outdoor visiting, it’s about closeness and touch. Why can’t I hold my Mums hand with a glove on and a mask AND having been tested? @scotgov @JeaneF1MSP",,1303021702213926912,28.0
2020-09-07 17:06:11+00:00,,,https://twitter.com/CatsDCharlie/status/1303016726905466881,0,It's about Labor UNIONS. You know the thing that you and the GOP are trying to kill so you don't have to pay a living wage. Shouldn't you be out trying to get Covid so our economy can open? ,DanPatrick,1303016726905466881,30.0
2020-09-07 16:38:22+00:00,,,https://twitter.com/Hnc365/status/1303009729497702407,0,"My mum received the covid virus as a free gift whilst on a 2 week stay in hospital with gastroenteritis, she came out far worse than she went in. Don't know of anyone else who has had the virus only a family friend who died through dementia but his death certificate States covid",lauriescott99,1303009729497702407,31.0
2020-09-07 16:02:25+00:00,,,https://twitter.com/WednesdayWife/status/1303000680517558274,1,Really cross to be told my mum - dementia and diabetes- still can't have her foot appt (cancelled at start of lockdown) as surgery only allowed 15 min appts to reduce covid risk. A hair appt takes longer and that's seen as ok. No logic to what's allowed.,,1303000680517558274,35.0
2020-09-07 15:46:26+00:00,,,https://twitter.com/DeanJC420/status/1302996657336774657,0,"Or live alone with dementia and all the trouble I have. I can't even drive myself to a doctor. I don't remember all the rules myself. I'm terrible at wearing a mask. Someone pointed out I had it inside out at the covid testing place. Im gonna die, I hope. Im tired of life.",WhatsMyPot,1302996657336774657,39.0
2020-09-07 15:30:00+00:00,,,https://twitter.com/_RG100/status/1302992520805322754,0,"Youre right actually, he decelerated our response to covid which decelerated the economy. The dementia/pedo accusation is a big time projection from the MAGA groupies...dude has more pics w/Epstein  and  Maxwell than most people have with their family.",jackytreeh0rn,1302992520805322754,42.0
2020-09-07 13:15:57+00:00,,,https://twitter.com/Traceymossman/status/1302958787985371136,0,So you’re going to cut me off because I don’t have the newest iPhone? Honestly? This game has gotten me through the COVID Physical distancing. It’s given me some peace from my moms Dementia diagnosis. SERIOUSLY???? Come on man. So disappointed,Pocket_Camp,1302958787985371136,51.0
2020-09-07 12:36:04+00:00,,,https://twitter.com/TheFlotsamLV/status/1302948750696960003,0,Months before my father-in-law was diagnosed with dementia he began to act erratically.,Vinylfan3,1302948750696960003,53.0
2020-09-07 11:09:57+00:00,,,https://twitter.com/MarilynPaxton/status/1302927076891201536,0,"We too live in Cornwall, with 90yr Mammy on the West Coast, we sometimes drive to Crewe and get the train up (train all the way 13hrs!) Or drive stopping overnight half way. She has Alzheimer’s & dementia and is now struggling with depression due to Covid. Stay strong!",JamesMelville,1302927076891201536,62.0
2020-09-07 03:15:23+00:00,,,https://twitter.com/itserickaaa_/status/1302807651458387975,0,My grandpa fell and hit his head and has been admitted to the hospital. They just called my mom to let her know he’s been fighting the nurses and keeps knocking his IV thing over. 🥺 he has really bad dementia and they won’t let my grandma in with him because of covid.,,1302807651458387975,78.0
2020-09-06 22:58:31+00:00,,,https://twitter.com/prestontories/status/1302743008287297536,1,Some people have it hard at the other extreme. My mate`s mum and dad celebrated their 70th wedding anniversary but sadly his mum succumbed to Covid-19 aged 98. Coping with parents with dementia cannot be easy.,Scott1984FP,1302743008287297536,89.0
2020-09-06 22:58:17+00:00,#OpenUpUSA,,https://twitter.com/EmraniMd/status/1302742949659209728,3,"I've seen a massive rise & progression in dementia in my practice since the lockdowns. Deaths from dementia (not COVID) jumped by 20,000 per week during max lockdowns. Because lockdowns kill. When I say #OpenUpUSA it triggers people. As if they care for lives  and  I don't. Silly",EthicalSkeptic,1302742949659209728,90.0
2020-09-06 22:37:24+00:00,,,https://twitter.com/BecScanlan/status/1302737694712242176,0,My Mum is in a nursing home with Dementia where there are Covid cases. She still has HS subscription because it makes her happy. If she catches it and dies cancelling it will be one of the first things I do....,theheraldsun,1302737694712242176,91.0
2020-09-06 22:10:28+00:00,,,https://twitter.com/paulmitche11/status/1302730916398211072,0,"Depending on the status of COVID in your area, going to a polling place has risks. Since I take care of my 78 year old dad with early dementia and heart disease and strokes, I’m not willing to risk it and will vote by mail for the first time.",WayneIv,1302730916398211072,94.0
2020-09-06 21:12:10+00:00,,,https://twitter.com/mcarltonn/status/1302716245423382531,1,This is so unfair 😭 my papaw has alzheimers/dementia and covid restrictions have been hard on him and my mamaw. Yesterday was their 56th anniversary and this is how they had to spend it. 💔 ,,1302716245423382531,98.0
2020-09-06 21:08:37+00:00,,,https://twitter.com/GinintheCity/status/1302715350698676227,0,I sympathise. My mother-in-law's care home has had to stop all visits because visitors disobeyed rules and now they have new cases of covid. She also suffers from dementia. The problem was that visitors cared only about their own family members and not about other residents/staff,Arthur94815177,1302715350698676227,99.0
